"Series";"V";"A";"Time";"Concentration"
"20220615_3_3Spp_B";0.017341610478;0.1706851425;30;2481.4072642283
"20220615_3_3Spp_B";0.017341610478;0.1706851425;45;2631.55987815449
"20220615_3_3Spp_C";0.017341610478;0.1706851425;0;740.165318872972
"20220615_3_3Spp_C";0.017341610478;0.1706851425;15;459.210040097472
"20220615_3_3Spp_C";0.017341610478;0.1706851425;30;1465.58582096094
"20220615_3_3Spp_C";0.017341610478;0.1706851425;45;1692.72549634629
"20220615_3_Clover_A";0.017341610478;0.1706851425;0;576.26990320224
"20220615_3_Clover_A";0.017341610478;0.1706851425;15;3135.98853754026
"20220615_3_Clover_A";0.017341610478;0.1706851425;30;4530.61122224645
"20220615_3_Clover_A";0.017341610478;0.1706851425;45;5754.47667320042
"20220615_3_Clover_B";0.017341610478;0.1706851425;0;588.917567418981
"20220615_3_Clover_B";0.017341610478;0.1706851425;15;1915.82123401808
"20220615_3_Clover_B";0.017341610478;0.1706851425;30;2875.99365656998
"20220615_3_Clover_B";0.017341610478;0.1706851425;45;3709.09395423662
"20220615_3_Clover_C";0.017341610478;0.1706851425;0;733.884946745369
"20220615_3_Clover_C";0.017341610478;0.1706851425;15;1162.15471374649
"20220615_3_Clover_C";0.017341610478;0.1706851425;30;3085.97230824518
"20220615_3_Clover_C";0.017341610478;0.1706851425;45;3537.25346021844
"20220615_3_Clover_D";0.017341610478;0.1706851425;0;526.00938022645
"20220615_3_Clover_D";0.017341610478;0.1706851425;15;2261.48761434355
"20220615_3_Clover_D";0.017341610478;0.1706851425;30;2893.73477654515
"20220615_3_Clover_D";0.017341610478;0.1706851425;45;3716.58310769266
"20220615_3_Trit_A";0.017341610478;0.1706851425;0;749.013069119101
"20220615_3_Trit_A";0.017341610478;0.1706851425;15;1221.18416513993
"20220615_3_Trit_A";0.017341610478;0.1706851425;30;1401.39623918018
"20220615_3_Trit_A";0.017341610478;0.1706851425;45;1180.94589164208
"20220615_3_Trit_B";0.017341610478;0.1706851425;0;682.85483119089
"20220615_3_Trit_B";0.017341610478;0.1706851425;15;1932.421057107
"20220615_3_Trit_B";0.017341610478;0.1706851425;30;3014.58942480293
"20220615_3_Trit_B";0.017341610478;0.1706851425;45;2421.2011541009
"20220615_3_Trit_C";0.017341610478;0.1706851425;0;739.831135915267
"20220615_3_Trit_C";0.017341610478;0.1706851425;15;1362.24041613499
"20220615_3_Trit_C";0.017341610478;0.1706851425;30;2128.00419751285
"20220615_3_Trit_C";0.017341610478;0.1706851425;45;2487.08270581615
"20220615_4_3Spp_A";0.017341610478;0.1706851425;0;728.943196012969
"20220615_4_3Spp_A";0.017341610478;0.1706851425;0;432.647623777505
"20220615_4_3Spp_A";0.017341610478;0.1706851425;15;2752.00638050593
"20220615_4_3Spp_A";0.017341610478;0.1706851425;15;1561.72253767257
"20220615_4_3Spp_A";0.017341610478;0.1706851425;30;1904.94031249777
"20220615_4_3Spp_A";0.017341610478;0.1706851425;30;1085.23324716514
"20220615_4_3Spp_A";0.017341610478;0.1706851425;45;4870.43210018976
"20220615_4_3Spp_A";0.017341610478;0.1706851425;45;1970.17644300795
"20220615_4_3Spp_B";0.017341610478;0.1706851425;0;730.702650389644
"20220615_4_3Spp_B";0.017341610478;0.1706851425;0;404.856450734214
"20220615_4_3Spp_B";0.017341610478;0.1706851425;15;2648.90122029416
"20220615_4_3Spp_B";0.017341610478;0.1706851425;15;1507.40808928578
"20220615_4_3Spp_B";0.017341610478;0.1706851425;30;3946.60949757696
"20220615_4_3Spp_B";0.017341610478;0.1706851425;30;2085.42745312436
"20220615_4_3Spp_B";0.017341610478;0.1706851425;45;4889.86087109513
"20220615_4_3Spp_B";0.017341610478;0.1706851425;45;2658.06857685848
"20220615_4_3Spp_C";0.017341610478;0.1706851425;0;555.586461547753
"20220615_4_3Spp_C";0.017341610478;0.1706851425;0;309.078481317239
"20220615_4_3Spp_C";0.017341610478;0.1706851425;15;3651.26869522954
"20220615_4_3Spp_C";0.017341610478;0.1706851425;15;1796.79622395685
"20220615_4_3Spp_C";0.017341610478;0.1706851425;30;5450.22360548015
"20220615_4_3Spp_C";0.017341610478;0.1706851425;30;3005.92253286186
"20220615_4_3Spp_C";0.017341610478;0.1706851425;45;2428.46625920888
"20220615_4_3Spp_C";0.017341610478;0.1706851425;45;1117.1485294393
"20220615_4_Clover_A";0.017341610478;0.1706851425;0;729.142140148534
"20220615_4_Clover_A";0.017341610478;0.1706851425;0;411.500698974084
"20220615_4_Clover_A";0.017341610478;0.1706851425;15;1382.79185822056
"20220615_4_Clover_A";0.017341610478;0.1706851425;15;857.098581164199
"20220615_4_Clover_A";0.017341610478;0.1706851425;30;1501.09370499932
"20220615_4_Clover_A";0.017341610478;0.1706851425;30;743.528203595987
"20220615_4_Clover_A";0.017341610478;0.1706851425;45;2011.69125221419
"20220615_4_Clover_A";0.017341610478;0.1706851425;45;1003.99682535041
"20220615_4_Clover_B";0.017341610478;0.1706851425;0;731.727334159797
"20220615_4_Clover_B";0.017341610478;0.1706851425;0;408.067900368964
"20220615_4_Clover_B";0.017341610478;0.1706851425;15;1814.57972416172
"20220615_4_Clover_B";0.017341610478;0.1706851425;15;997.880035510671
"20220615_4_Clover_B";0.017341610478;0.1706851425;30;2421.04432025726
"20220615_4_Clover_B";0.017341610478;0.1706851425;30;1325.12289318158
"20220615_4_Clover_B";0.017341610478;0.1706851425;45;3624.82343190121
"20220615_4_Clover_B";0.017341610478;0.1706851425;45;2046.75562849853
"20220615_4_Clover_C";0.017341610478;0.1706851425;0;746.166305409924
"20220615_4_Clover_C";0.017341610478;0.1706851425;0;398.498066591444
"20220615_4_Clover_C";0.017341610478;0.1706851425;15;923.992129574469
"20220615_4_Clover_C";0.017341610478;0.1706851425;15;515.557929696212
"20220615_4_Clover_C";0.017341610478;0.1706851425;30;992.158434564369
"20220615_4_Clover_C";0.017341610478;0.1706851425;30;552.04244858191
"20220615_4_Clover_C";0.017341610478;0.1706851425;45;859.827921943972
