Series;f0;f0.se;f0.p;f0.lo95;f0.up95;Method;Warning;Prefilter;Prefilter.p;SatCrit.Warning;LR.f0;LR.f0.se;LR.f0.p;LR.f0.lo95;LR.f0.up95;LR.Warning
20220910_3_Trit_A;2.449e+00;2.164e+00;3.752e-01;-6.864e+00;1.176e+01;LR;None;Signal;9.970e-04;NA;2.449e+00;2.164e+00;3.752e-01;-6.864e+00;1.176e+01;None
20220910_3_Trit_B;2.540e+00;2.443e+00;4.076e-01;-7.970e+00;1.305e+01;LR;None;Signal;2.188e-04;NA;2.540e+00;2.443e+00;4.076e-01;-7.970e+00;1.305e+01;None
20220910_3_Trit_C;4.224e+00;2.578e+00;2.430e-01;-6.870e+00;1.532e+01;LR;None;Signal;3.273e-07;NA;4.224e+00;2.578e+00;2.430e-01;-6.870e+00;1.532e+01;None
20220910_4_3Spp_A;4.258e+00;8.594e-01;3.840e-02;5.604e-01;7.956e+00;LR;None;Signal;1.179e-04;NA;4.258e+00;8.594e-01;3.840e-02;5.604e-01;7.956e+00;None
20220910_4_3Spp_B;1.480e+01;1.969e+01;5.897e-01;-2.354e+02;2.650e+02;HMR;None;Signal;5.026e-03;NA;2.577e+00;1.654e+00;2.595e-01;-4.540e+00;9.694e+00;None
20220910_4_3Spp_C;9.014e+00;1.601e+00;1.119e-01;-1.133e+01;2.935e+01;HMR;None;Signal;1.272e-08;NA;6.058e+00;6.059e-01;9.856e-03;3.451e+00;8.665e+00;None
20220910_4_Clover_A;6.423e+00;8.435e+00;5.857e-01;-1.008e+02;1.136e+02;HMR;None;Signal;1.788e-05;NA;4.404e+00;1.401e+00;8.808e-02;-1.625e+00;1.043e+01;None
20220910_4_Clover_B;9.486e+00;2.786e+00;1.819e-01;-2.591e+01;4.488e+01;HMR;None;Signal;2.875e-03;NA;3.397e+00;9.225e-01;6.646e-02;-5.717e-01;7.366e+00;None
20220910_4_Clover_C;1.753e+01;4.168e+01;7.466e-01;-5.120e+02;5.471e+02;HMR;None;Signal;2.410e-03;NA;2.251e+00;2.066e+00;3.897e-01;-6.637e+00;1.114e+01;None
20220910_4_Clover_D;8.991e+00;7.544e+00;4.444e-01;-8.686e+01;1.048e+02;HMR;None;Signal;4.275e-03;NA;3.125e+00;1.157e+00;1.141e-01;-1.853e+00;8.103e+00;None
20220910_4_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Signal;7.294e-04;NA;3.296e+00;1.601e+00;1.758e-01;-3.593e+00;1.019e+01;None
20220910_4_Trit_B;1.457e+01;2.317e+01;6.426e-01;-2.799e+02;3.090e+02;HMR;None;Signal;3.209e-06;NA;3.906e+00;2.390e+00;2.438e-01;-6.379e+00;1.419e+01;None
20220910_4_Trit_C;0.000e+00;NA;NA;NA;NA;No flux;None;Signal;2.923e-02;NA;-3.965e-02;2.062e+00;9.864e-01;-8.912e+00;8.832e+00;None
20220927_1_3Spp_A;6.539e+00;2.756e-01;2.682e-02;3.036e+00;1.004e+01;HMR;None;Signal;1.542e-02;NA;3.040e+00;5.418e-01;3.033e-02;7.087e-01;5.371e+00;None
20220927_1_3Spp_B;5.613e+00;2.062e-01;1.346e-03;4.726e+00;6.500e+00;LR;None;Signal;2.594e-07;NA;5.613e+00;2.062e-01;1.346e-03;4.726e+00;6.500e+00;None
20220927_1_3Spp_C;6.872e+00;1.829e-02;1.695e-03;6.639e+00;7.104e+00;HMR;None;Signal;4.408e-03;NA;3.431e+00;5.534e-01;2.505e-02;1.050e+00;5.811e+00;None
20220927_1_Clover_A;3.097e+00;6.850e-01;4.560e-02;1.498e-01;6.044e+00;LR;None;Signal;1.095e-02;NA;3.097e+00;6.850e-01;4.560e-02;1.498e-01;6.044e+00;None
20220927_1_Clover_B;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.321e-01;NA;2.301e+00;5.591e-02;5.900e-04;2.060e+00;2.542e+00;None
20220927_1_Clover_C;3.408e+00;4.078e-01;1.401e-02;1.654e+00;5.163e+00;LR;None;Signal;5.451e-03;NA;3.408e+00;4.078e-01;1.401e-02;1.654e+00;5.163e+00;None
20220927_1_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.871e-01;NA;1.044e+00;1.312e+00;5.097e-01;-4.601e+00;6.689e+00;None
20220927_1_Trit_A;1.296e+01;1.722e+01;5.893e-01;-2.058e+02;2.317e+02;HMR;None;Signal;5.540e-06;NA;4.127e+00;2.072e+00;1.847e-01;-4.790e+00;1.304e+01;None
20220927_1_Trit_B;5.171e+00;1.283e+00;5.637e-02;-3.476e-01;1.069e+01;LR;None;Signal;5.779e-07;NA;5.171e+00;1.283e+00;5.637e-02;-3.476e-01;1.069e+01;None
20220927_1_Trit_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.797e-01;NA;1.455e+00;1.119e+00;3.232e-01;-3.360e+00;6.271e+00;None
20220927_2_3Spp_A;2.672e+00;8.491e-01;8.788e-02;-9.814e-01;6.326e+00;LR;None;Signal;2.816e-02;NA;2.672e+00;8.491e-01;8.788e-02;-9.814e-01;6.326e+00;None
20220927_2_3Spp_B;3.446e+00;8.624e-01;5.732e-02;-2.653e-01;7.156e+00;LR;None;Signal;2.715e-03;NA;3.446e+00;8.624e-01;5.732e-02;-2.653e-01;7.156e+00;None
20220927_2_3Spp_C;2.693e+00;1.270e+00;1.681e-01;-2.773e+00;8.158e+00;LR;None;Signal;1.123e-02;NA;2.693e+00;1.270e+00;1.681e-01;-2.773e+00;8.158e+00;None
20220927_2_Clover_A;4.212e+00;8.415e-01;3.767e-02;5.916e-01;7.833e+00;LR;None;Signal;1.482e-04;NA;4.212e+00;8.415e-01;3.767e-02;5.916e-01;7.833e+00;None
20220927_2_Clover_B;5.225e+00;5.819e-01;1.218e-02;2.722e+00;7.729e+00;LR;None;Signal;1.655e-06;NA;5.225e+00;5.819e-01;1.218e-02;2.722e+00;7.729e+00;None
20220927_2_Clover_C;3.435e+00;7.043e-01;3.956e-02;4.046e-01;6.465e+00;LR;None;Signal;3.598e-03;NA;3.435e+00;7.043e-01;3.956e-02;4.046e-01;6.465e+00;None
20220927_2_Clover_D;4.852e+00;1.248e-01;1.637e-02;3.266e+00;6.437e+00;HMR;None;Signal;8.045e-03;NA;3.317e+00;2.806e-01;7.081e-03;2.109e+00;4.524e+00;None
20220927_2_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.965e-01;NA;2.467e-01;1.477e+00;8.827e-01;-6.108e+00;6.602e+00;None
20220927_2_Trit_B;1.379e+01;1.401e+01;5.048e-01;-1.642e+02;1.917e+02;HMR;None;Signal;3.162e-02;NA;2.219e+00;1.307e+00;2.315e-01;-3.403e+00;7.842e+00;None
20220927_2_Trit_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;3.966e-01;NA;1.097e+00;8.946e-01;3.450e-01;-2.753e+00;4.946e+00;None
20220927_3_3Spp_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_3_3Spp_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_3_3Spp_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_3_Clover_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_3_Clover_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_3_Clover_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_3_Clover_D;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_3_Trit_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_3_Trit_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_3_Trit_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_4_3Spp_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_4_3Spp_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_4_3Spp_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_4_Clover_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_4_Clover_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_4_Clover_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_4_Clover_D;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_4_Trit_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_4_Trit_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220927_4_Trit_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20221005_1_3Spp_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;9.621e-02;NA;5.181e-01;1.691e+00;7.883e-01;-6.758e+00;7.794e+00;None
20221005_1_3Spp_B;2.390e+00;9.661e-01;1.318e-01;-1.767e+00;6.547e+00;LR;None;Signal;4.550e-02;NA;2.390e+00;9.661e-01;1.318e-01;-1.767e+00;6.547e+00;None
20221005_1_3Spp_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;4.092e-01;NA;1.640e+00;1.406e-01;7.278e-03;1.034e+00;2.245e+00;None
20221005_1_Clover_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;5.339e-01;NA;1.071e+00;6.789e-01;2.555e-01;-1.850e+00;3.992e+00;None
20221005_1_Clover_B;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;3.655e-01;NA;1.338e+00;7.772e-01;2.273e-01;-2.006e+00;4.682e+00;None
20221005_1_Clover_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;9.355e-02;NA;2.424e+00;2.938e-01;1.437e-02;1.160e+00;3.688e+00;None
20221005_1_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;7.298e-01;NA;8.957e-01;4.597e-01;1.907e-01;-1.082e+00;2.874e+00;None
20221005_1_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Signal;0.000e+00;NA;-5.158e+00;5.147e+00;4.219e-01;-2.731e+01;1.699e+01;None
20221005_1_Trit_B;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;3.806e-01;NA;7.415e-01;1.084e+00;5.647e-01;-3.925e+00;5.408e+00;None
20221005_1_Trit_C;0.000e+00;NA;NA;NA;NA;No flux;None;Signal;1.805e-02;NA;-2.547e+00;1.228e+00;1.738e-01;-7.831e+00;2.737e+00;None
20221005_2_3Spp_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;6.154e-02;NA;1.543e+00;1.510e+00;4.145e-01;-4.955e+00;8.041e+00;None
20221005_2_3Spp_B;4.754e+00;1.389e-01;1.860e-02;2.989e+00;6.519e+00;HMR;None;Signal;3.662e-02;NA;2.794e+00;3.366e-01;1.420e-02;1.346e+00;4.243e+00;None
20221005_2_3Spp_C;6.900e+00;3.449e+00;2.951e-01;-3.693e+01;5.073e+01;HMR;None;Signal;1.610e-03;NA;3.651e+00;7.347e-01;3.819e-02;4.899e-01;6.812e+00;None
20221005_2_Clover_A;2.899e+00;2.620e-01;8.072e-03;1.771e+00;4.026e+00;LR;None;Signal;2.874e-02;NA;2.899e+00;2.620e-01;8.072e-03;1.771e+00;4.026e+00;None
20221005_2_Clover_B;3.412e+00;9.664e-01;7.169e-02;-7.459e-01;7.570e+00;LR;None;Signal;2.517e-03;NA;3.412e+00;9.664e-01;7.169e-02;-7.459e-01;7.570e+00;None
20221005_2_Clover_C;4.232e+00;3.023e+00;3.948e-01;-3.417e+01;4.264e+01;HMR;None;Signal;4.492e-03;NA;3.426e+00;5.500e-01;2.482e-02;1.059e+00;5.793e+00;None
20221005_2_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;3.587e-01;NA;1.698e+00;2.814e-01;2.636e-02;4.878e-01;2.909e+00;None
20221005_2_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;4.668e-01;NA;1.528e+00;1.874e-01;1.471e-02;7.219e-01;2.335e+00;None
20221005_2_Trit_B;6.516e+00;9.243e-01;8.971e-02;-5.228e+00;1.826e+01;HMR;None;Signal;2.941e-03;NA;3.564e+00;4.972e-01;1.891e-02;1.425e+00;5.703e+00;None
20221005_2_Trit_C;2.978e+00;5.938e-01;3.754e-02;4.227e-01;5.533e+00;LR;None;Signal;1.746e-02;NA;2.978e+00;5.938e-01;3.754e-02;4.227e-01;5.533e+00;None
20221005_3_3Spp_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.130e-01;NA;2.369e+00;1.135e-01;2.285e-03;1.881e+00;2.858e+00;None
20221005_3_3Spp_B;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;4.558e-01;NA;9.105e-01;9.043e-01;4.200e-01;-2.980e+00;4.801e+00;None
20221005_3_3Spp_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;3.026e-01;NA;-6.858e-01;1.219e+00;6.303e-01;-5.930e+00;4.558e+00;None
20221005_3_Clover_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;6.884e-02;NA;2.572e+00;2.135e-01;6.820e-03;1.653e+00;3.490e+00;None
20221005_3_Clover_B;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;5.487e-01;NA;1.264e+00;4.473e-01;1.057e-01;-6.605e-01;3.189e+00;None
20221005_3_Clover_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.233e-01;NA;2.295e+00;3.039e-01;1.709e-02;9.874e-01;3.602e+00;None
20221005_3_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;3.002e-01;NA;1.820e+00;2.718e-01;2.159e-02;6.504e-01;2.989e+00;None
20221005_3_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;3.388e-01;NA;1.475e+00;7.074e-01;1.723e-01;-1.568e+00;4.519e+00;None
20221005_3_Trit_B;2.632e+00;7.664e-01;7.534e-02;-6.657e-01;5.930e+00;LR;None;Signal;3.546e-02;NA;2.632e+00;7.664e-01;7.534e-02;-6.657e-01;5.930e+00;None
20221005_3_Trit_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;2.836e-01;NA;1.360e+00;9.330e-01;2.822e-01;-2.654e+00;5.374e+00;None
20221005_4_3Spp_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.273e-01;NA;2.317e+00;8.433e-02;1.322e-03;1.954e+00;2.679e+00;None
20221005_4_3Spp_B;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;3.594e-01;NA;1.721e+00;1.963e-01;1.277e-02;8.761e-01;2.565e+00;None
20221005_4_3Spp_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;2.741e-01;NA;7.123e-01;1.257e+00;6.282e-01;-4.698e+00;6.123e+00;None
20221005_4_Clover_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.039e-01;NA;2.390e+00;2.330e-01;9.369e-03;1.388e+00;3.393e+00;None
20221005_4_Clover_B;0.000e+00;NA;NA;NA;NA;No flux;None;Signal;3.703e-04;NA;-1.762e+00;2.668e+00;5.770e-01;-1.324e+01;9.719e+00;None
20221005_4_Clover_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;6.666e-02;NA;2.315e+00;8.408e-01;1.105e-01;-1.303e+00;5.932e+00;None
20221005_4_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;6.670e-02;NA;2.390e+00;7.276e-01;8.151e-02;-7.407e-01;5.521e+00;None
20221005_4_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;6.759e-02;NA;2.562e+00;3.011e-01;1.354e-02;1.266e+00;3.857e+00;None
20221005_4_Trit_B;1.124e+01;1.220e+01;5.261e-01;-1.438e+02;1.662e+02;HMR;None;Signal;1.831e-02;NA;2.713e+00;1.028e+00;1.185e-01;-1.708e+00;7.135e+00;None
20221005_4_Trit_C;3.201e+00;3.189e-01;9.784e-03;1.828e+00;4.573e+00;LR;None;Signal;1.139e-02;NA;3.201e+00;3.189e-01;9.784e-03;1.828e+00;4.573e+00;None
