Series;f0;f0.se;f0.p;f0.lo95;f0.up95;Method;Warning;Prefilter;Prefilter.p;SatCrit.Warning;LR.f0;LR.f0.se;LR.f0.p;LR.f0.lo95;LR.f0.up95;LR.Warning
20220623_1_3Spp_C;1.144e+01;8.861e-01;4.920e-02;1.837e-01;2.270e+01;HMR;None;Signal;1.402e-12;NA;7.339e+00;7.535e-01;1.038e-02;4.097e+00;1.058e+01;None
20220623_1_Clover_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;2.507e-01;NA;1.443e+00;9.461e-01;2.666e-01;-2.627e+00;5.514e+00;None
20220623_1_Clover_B;0.000e+00;NA;NA;NA;NA;No flux;None;Signal;2.835e-03;NA;-3.568e-01;2.564e+00;9.021e-01;-1.139e+01;1.067e+01;None
20220623_1_Clover_C;6.694e+00;4.006e+00;2.367e-01;-1.054e+01;2.393e+01;LR;None;Signal;0.000e+00;NA;6.694e+00;4.006e+00;2.367e-01;-1.054e+01;2.393e+01;None
20220623_1_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;9.064e-01;NA;6.515e-01;2.247e-01;1.012e-01;-3.151e-01;1.618e+00;None
20220623_1_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;3.791e-01;NA;1.632e+00;3.522e-01;4.356e-02;1.165e-01;3.147e+00;None
20220623_1_Trit_B;7.248e+00;5.935e-01;5.202e-02;-2.935e-01;1.479e+01;HMR;None;Signal;3.037e-06;NA;5.144e+00;4.074e-01;6.212e-03;3.392e+00;6.897e+00;None
20220623_1_Trit_C;7.176e+00;2.628e+00;1.120e-01;-4.131e+00;1.848e+01;LR;None;Signal;6.550e-15;NA;7.176e+00;2.628e+00;1.120e-01;-4.131e+00;1.848e+01;None
20220623_2_3Spp_A;2.276e+01;8.030e+00;2.159e-01;-7.926e+01;1.248e+02;HMR;None;Signal;0.000e+00;NA;1.225e+01;2.131e+00;2.898e-02;3.076e+00;2.142e+01;None
20220623_2_3Spp_B;1.030e+01;1.497e+00;9.187e-02;-8.721e+00;2.933e+01;HMR;None;Signal;8.451e-08;NA;5.705e+00;7.803e-01;1.820e-02;2.348e+00;9.063e+00;None
20220623_2_3Spp_C;1.076e+01;6.498e-01;3.839e-02;2.507e+00;1.902e+01;HMR;None;Signal;2.109e-15;NA;8.182e+00;5.090e-01;3.848e-03;5.992e+00;1.037e+01;None
20220623_2_Clover_A;1.036e+01;3.202e+00;8.370e-02;-3.416e+00;2.413e+01;LR;None;Signal;0.000e+00;NA;1.036e+01;3.202e+00;8.370e-02;-3.416e+00;2.413e+01;None
20220623_2_Clover_B;1.828e+01;4.774e-01;1.662e-02;1.222e+01;2.435e+01;HMR;None;Signal;0.000e+00;NA;1.217e+01;1.114e+00;8.273e-03;7.380e+00;1.697e+01;None
20220623_2_Clover_C;4.985e+00;1.575e+00;8.701e-02;-1.793e+00;1.176e+01;LR;None;Signal;6.447e-07;NA;4.985e+00;1.575e+00;8.701e-02;-1.793e+00;1.176e+01;None
20220623_2_Clover_D;1.375e+01;7.105e-01;3.287e-02;4.722e+00;2.278e+01;HMR;None;Signal;6.251e-03;NA;3.011e+00;1.142e+00;1.187e-01;-1.902e+00;7.923e+00;None
20220623_2_Trit_A;1.228e+01;4.272e-01;2.214e-02;6.850e+00;1.771e+01;HMR;None;Signal;0.000e+00;NA;1.024e+01;4.126e-01;1.621e-03;8.461e+00;1.201e+01;None
20220623_2_Trit_B;2.106e+01;1.168e+01;2.132e-01;-2.920e+01;7.131e+01;LR;None;Signal;0.000e+00;NA;2.106e+01;1.168e+01;2.132e-01;-2.920e+01;7.131e+01;None
20220623_2_Trit_C;1.145e+01;9.952e+00;3.690e-01;-3.137e+01;5.427e+01;LR;None;Signal;0.000e+00;NA;1.145e+01;9.952e+00;3.690e-01;-3.137e+01;5.427e+01;None
20220623_3_3Spp_A;1.290e+01;1.911e-01;9.428e-03;1.048e+01;1.533e+01;HMR;None;Signal;0.000e+00;NA;9.157e+00;6.954e-01;5.718e-03;6.165e+00;1.215e+01;None
20220623_3_3Spp_B;8.001e+00;1.355e+00;2.751e-02;2.170e+00;1.383e+01;LR;None;Signal;1.887e-15;NA;8.001e+00;1.355e+00;2.751e-02;2.170e+00;1.383e+01;None
20220623_3_3Spp_C;9.578e+00;2.251e+00;5.103e-02;-1.063e-01;1.926e+01;LR;None;Signal;0.000e+00;NA;9.578e+00;2.251e+00;5.103e-02;-1.063e-01;1.926e+01;None
20220623_3_Clover_A;2.268e+01;3.892e-01;1.092e-02;1.773e+01;2.762e+01;HMR;None;Signal;0.000e+00;NA;1.704e+01;1.070e+00;3.920e-03;1.244e+01;2.164e+01;None
20220623_3_Clover_B;6.755e+00;2.571e+00;1.194e-01;-4.306e+00;1.782e+01;LR;None;Signal;1.883e-13;NA;6.755e+00;2.571e+00;1.194e-01;-4.306e+00;1.782e+01;None
20220623_3_Clover_C;8.940e+00;3.983e+00;1.539e-01;-8.195e+00;2.608e+01;LR;None;Signal;0.000e+00;NA;8.940e+00;3.983e+00;1.539e-01;-8.195e+00;2.608e+01;None
20220623_3_Clover_D;1.976e+01;3.567e+00;1.137e-01;-2.557e+01;6.508e+01;HMR;None;Signal;0.000e+00;NA;9.800e+00;1.704e+00;2.893e-02;2.468e+00;1.713e+01;None
20220623_3_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Signal;7.085e-05;NA;-2.226e+00;2.798e+00;5.098e-01;-1.427e+01;9.815e+00;None
20220623_3_Trit_B;1.526e+01;1.184e+01;4.201e-01;-1.352e+02;1.657e+02;HMR;None;Signal;5.524e-10;NA;6.158e+00;1.670e+00;6.635e-02;-1.029e+00;1.334e+01;None
20220623_3_Trit_C;9.727e+00;3.793e+00;1.243e-01;-6.594e+00;2.605e+01;LR;None;Signal;0.000e+00;NA;9.727e+00;3.793e+00;1.243e-01;-6.594e+00;2.605e+01;None
